STN,LON,LAT,STN_SP,HT,HT_WD,LAU,STN,STN_KO,STN_EN,FCT_ID,LAW_ID,BASIN
90,128.56473,38.25085,41211210,17.53,10,4090,105,속초,----,11D20401,4282033035,282
92,128.6667,38.0667,20111000,75.4,10,4113,113,양양(공),----,11D20403,4283032021,221
93,127.75443,37.94738,41211111,95.78,10,4101,101,북춘천,----,11D10301,4211025024,291
95,127.3042,38.14787,41211110,155.48,12.6,4095,101,철원,----,11D10101,4278025624,293
96,131.86983,37.23952,1111100,99.08,0,4115,115,독도,----,1.10E+103,4794025027,211
98,127.0607,37.90188,41211110,115.62,0,4111,109,동두천,----,11B20401,4125010300,112
99,126.76648,37.88589,41211110,30.59,10,4111,109,파주,----,11B20305,4148025025,113
100,128.71834,37.67713,41211110,772.43,10,4100,105,대관령,----,11D20201,4276038024,283
101,127.7357,37.90262,41211111,75.82,10,4101,101,춘천,----,11D10301,4211011800,291
102,124.71237,37.97396,41211110,36,0,4102,102,백령도,----,11A00101,2872033021,131
104,128.85535,37.80456,41211111,75.24,0,4105,105,북강릉,----,11D20501,4215036027,281
105,128.89099,37.75147,41211111,27.12,17.9,4111,105,강릉,----,11D20501,4215010700,281
106,129.12433,37.50709,41211210,40.46,10,4106,105,동해,----,11D20601,4217010400,284
108,126.9658,37.57142,41211111,85.67,10,4111,109,서울,----,11B10101,1111017800,101
110,126.7756,37.5683,20111000,11.38,10,4113,113,김포(공),----,11B10101,1150010800,221
112,126.6249,37.47772,41211111,68.99,10,4111,112,인천,----,11B20201,2811013700,121
113,126.4392,37.4625,20111000,7.1,10,4113,113,인천(공),----,11B20201,2811014700,221
114,127.94659,37.33749,41211110,150.11,10,4114,105,원주,----,11D10401,4213010600,286
115,130.89863,37.48129,41211111,221.14,10,4111,115,울릉도,----,1.10E+102,4794025024,211
116,126.96402,37.44526,1110000,624.82,0,4108,109,관악(레),----,11B10102,4129010700,111
119,126.983,37.25746,X1211110,39.81,10,4119,109,수원,----,11B20601,4111312800,111
121,128.45743,37.18126,41211210,240.54,10,4121,105,영월,----,11D10501,4275025022,287
127,127.9525,36.97045,41211110,114.85,0,4111,131,충주,----,11C10101,4313012200,4313
128,127.5,36.71666667,20111000,58,7,4113,133,청주(공) *,----,11C10301,4311425040,----
129,126.4939,36.77658,X1211111,25.25,20.2,4109,177,서산,----,11C20101,4421010600,311
130,129.41278,36.99176,41211210,48.98,0,4111,136,울진,----,11H10101,4793025023,192
131,127.44066,36.63924,41211110,58.7,10,4111,131,청주,----,11C10301,4311311400,321
133,127.37211,36.37198,41211111,70.22,19.8,4133,133,대전,----,11C20401,3020012400,301
135,127.99458,36.22025,41211110,244.98,10,4135,131,추풍령,----,11C10401,4374033521,323
136,128.70733,36.57293,41211110,141.26,10,4136,136,안동,----,11H10501,4717012900,191
137,128.15741,36.40837,41211110,96.58,0,4111,143,상주,----,11H10302,4725011000,184
138,129.38002,36.03201,41211111,3.94,15.4,4138,138,포항,----,11H10201,4711110400,201
139,129.4167,35.9833,20111000,21,7,4113,113,포항(공) *,----,11H10201,4711132021,----
140,126.76135,36.0053,41211210,27.85,15.3,4140,146,군산,----,21F10501,4513013800,273
142,128.6611111,35.89083333,20111000,35.4,7,4113,113,대구(공) *,----,11H10701,2714010800,----
143,128.65296,35.87797,41211110,54.27,0,4143,143,대구,----,11H10701,2714010300,181
146,127.11718,35.84092,41211110,60.44,10,4146,146,전주,----,11F10201,4511310600,271
151,129.3522222,35.59333333,20111000,12.6,10,4113,113,울산(공),----,11H20101,3120012600,221
152,129.33469,35.58237,41211210,81.14,10,4152,152,울산,----,11H20101,3111011400,161
153,128.9344444,35.16916667,20111000,4,7,4113,113,김해(공) *,----,11H20201,2644010200,----
155,128.57282,35.17019,41211110,34.97,10,4155,155,창원,----,11H20301,4812510100,171
156,126.89156,35.17294,41211110,70.28,17.5,4156,156,광주,----,11F20501,2917010900,241
158,126.8116667,35.125,20111000,12.8,7,4113,113,광주(공) *,----,11F20500,2920010400,----
159,129.03203,35.10468,41211111,69.56,17.8,4111,159,부산,----,11H20201,2611011600,151
160,128.99995,35.11882,1110000,512,0,4159,159,부산(레),----,11H20201,2614010600,151
161,128.0666667,35.08333333,20111000,8,7,4113,113,사천(공) *,----,11H20400,4824025028,----
162,128.43561,34.84541,41211210,31.24,15.2,4162,159,통영,----,11H20401,4822010900,152
163,126.3830556,34.99138888,20111000,10.9,10,4113,113,무안(공),----,21F20804,4684035023,221
165,126.38151,34.81732,41211111,44.7,15.5,4165,165,목포,----,21F20801,4611010300,251
167,127.6125,34.84666667,20111000,17.9,10,4113,113,여수(공),----,11F20401,4613032028,221
168,127.74063,34.73929,41211111,65.93,20.8,4168,168,여수,----,11F20401,4613010500,261
169,125.45105,34.68719,41211110,75.12,15.5,4165,169,흑산도,----,11F20701,4691036022,251
170,126.70182,34.3959,41211210,35.37,15.4,4170,165,완도,----,11F20301,4689031022,254
172,126.599,35.34824,41211110,52.42,10,4111,146,고창,Gochang,21F10601,4579038025,272
174,127.3694,35.0204,41211210,165,10.3,4111,156,순천,Suncheon,11F20603,4615025025,242
175,126.3238,34.47211,1211000,478.51,10,4111,165,진도(레),----,21F20201,4690033021,253
177,126.68772,36.65759,41211110,27.74,10,4129,177,홍성,Hongseong,11C20104,4480025625,311
182,126.5,33.51666667,20111000,26.5,10,4113,113,제주(공),----,11G00200,5011010900,221
184,126.52969,33.51411,41211000,20.79,0,4111,184,제주,----,11G00201,5011010700,331
185,126.16283,33.29382,41211110,71.39,10,4184,184,고산,----,11G00500,5011031023,331
188,126.8802,33.38677,41211210,20.34,10,4111,184,성산,----,11G00100,5013025927,331
189,126.5653,33.24616,41211210,51.86,10,4184,184,서귀포,----,11G00401,5013010100,331
192,128.04004,35.16378,41211110,29.35,10,4192,155,진주,----,11H20701,4817012600,172
201,126.44634,37.70739,41211210,47.84,12,4111,112,강화,----,11B20101,2871032027,122
202,127.49446,37.48863,41211210,47.26,10,4111,109,양평,----,11B20503,4183025021,114
203,127.48421,37.26399,41211210,80.09,10,4111,109,이천,----,11B20701,4150025328,114
211,128.16714,38.05986,41211210,201.78,10,4111,105,인제,----,11D10201,4281025022,281
212,127.88043,37.6836,41211210,140.2,13,4111,101,홍천,----,11D10302,4272025029,292
216,128.98929,37.17038,31211210,714.45,16,4216,105,태백,----,11D20301,4219010100,285
217,128.6459,37.38149,41211211,307.58,0,4111,105,정선군,----,11D10502,4277025022,287
221,128.19433,37.15928,41211210,264.62,13.3,4111,131,제천,----,11C10201,4315011200,325
226,127.73415,36.48761,41211210,171.31,10,4111,131,보은,----,11C10302,4372025030,322
229,125.55954,36.62544,1111200,104.81,0,4129,133,북격렬비도 *,----,11C20102,4482533029,311
230,126.10297,37.2645,1111000,12,0,4111,112,덕적북리,----,11B20201,2872035021,121
232,127.29282,36.76217,41211210,84.78,91.5,4111,133,천안,----,11C20301,4413136022,302
235,126.55744,36.32724,31211210,9.98,9.8,4235,133,보령,----,11C20201,4418010900,303
236,126.92079,36.27242,41211210,13.42,9.5,4111,133,부여,----,11C20501,4476025033,304
238,127.48175,36.10563,41211210,172.69,10.1,4111,133,금산,----,11C20601,4471025025,305
239,127.24438,36.48522,41211210,89.5,10,4133,133,세종,----,11C20404,3611010800,301
243,126.71657,35.72961,41211210,12.2,10,4243,146,부안,----,21F10602,4580033021,274
244,127.28556,35.61203,41211210,247.04,10,4111,146,임실,----,11F10402,4575025022,275
245,126.83904,35.56337,31211210,68.7,10,4245,146,정읍,----,11F10203,4518010800,276
247,127.39652,35.4213,41211210,133.49,10,4111,146,남원,----,11F10401,4519011600,277
248,127.52031,35.65696,41211210,406.87,10,4111,146,장수,----,11F10301,4574025023,278
251,126.697,35.42661,41211111,58.84,10,4111,146,고창군,----,21F10601,4579025030,272
252,126.47784,35.28366,31211111,37.2,0,4156,156,영광군,----,21F20102,4687034030,241
253,128.89075,35.22981,41211111,54.59,0,4111,159,김해시,----,11H20304,4825010300,151
254,127.1286,35.37131,41211111,129.38,10.5,4146,146,순창군,----,11F10403,4577025026,271
255,128.6726,35.22655,41211111,50.95,10,4111,155,북창원,----,11H20301,4812311100,171
257,129.02009,35.30737,41211111,6.29,10,4111,152,양산시,----,11H20102,4833031027,161
258,127.21226,34.76335,X1211111,1.41,0,4111,168,보성군,----,11F20404,4678038023,242
259,126.78408,34.64457,41211111,16,10,4111,165,강진군,Gangjin Gun,11F20303,4681025027,255
260,126.91951,34.68886,31211210,43.99,10.2,4260,165,장흥,----,11F20304,4680025043,255
261,126.56907,34.55375,31211210,16.36,10,4261,165,해남,----,11F20302,4682025034,252
262,127.27572,34.61826,31211210,51.91,10,4262,168,고흥,----,11F20403,4677025029,262
263,128.28812,35.32258,41211111,14.1,0,4111,155,의령군,----,11H20602,4872025024,171
264,127.74538,35.51138,41211111,152.07,0,4111,155,함양군,----,11H20502,4887025022,172
266,127.6914,34.9434,31111111,88.21,0,4174,156,광양시,----,11F20402,4623010600,242
268,126.25846,34.47296,41211210,9.82,0,4165,165,진도군,----,21F20201,4690025025,253
271,128.91449,36.94361,41211210,324.67,10,4111,136,봉화,----,11H10402,4792034021,192
272,128.51687,36.87183,41211210,211.32,10,4111,136,영주,----,11H10401,4721025021,193
273,128.14879,36.62727,41211210,173.01,0,4111,136,문경,----,11H10301,4728010800,185
276,129.04005,36.4351,41211111,208.65,0,4111,143,청송군,----,11H10503,4775025000,191
277,129.40926,36.53337,41211210,40.71,10,4111,138,영덕,----,11H10102,4777036030,201
278,128.68864,36.3561,41211210,81.44,10,4111,143,의성,----,11H10502,4773025031,182
279,128.32055,36.13055,31211210,49.17,10,4279,143,구미,----,11H10602,4719010800,183
281,128.9514,35.97742,41211210,96.12,10,4111,143,영천,----,11H10702,4723010200,182
283,129.20123,35.81747,41211111,40.13,0,4111,138,경주시,----,11H10202,4713011300,201
284,127.9099,35.66739,31211210,228.45,10,4152,152,거창,----,11H20502,4888025028,163
285,128.16994,35.56505,41211210,26.72,10,4111,152,합천,----,11H20503,4889025021,161
288,128.74412,35.49147,31211210,8.31,10,4288,152,밀양,----,11H20601,4827010200,162
289,127.8791,35.413,41211210,138.22,10,4111,155,산청,----,11H20703,4886025023,173
294,128.60459,34.88818,41211210,44.83,10,4111,159,거제,----,11H20403,4831010800,153
295,127.92641,34.81662,41211210,45.71,10,4111,159,남해,----,11H20405,4884031021,151
296,128.96024,35.21778,1111000,3,0,4109,159,북부산,----,11H20201,2644010100,151
300,126.31507,35.85799,1111000,44.18,0,4109,146,말도,----,21F10501,4513039030,273
301,126.1199,35.08704,1111000,6.33,0,4111,165,임자도,----,21F20803,4691032027,251
302,126.15928,34.66473,1110000,17.03,0,4165,165,장산도,----,21F20803,4691039021,251
303,125.09722,34.0725,1111000,97.84,0,4109,169,가거도,----,11F20701,4691036032,251
304,126.84849,34.31801,1110000,25.41,0,4170,165,신지도,----,11F20301,4689032024,254
305,126.9201,33.98622,1111000,35.38,0,4170,165,여서도,----,11F20301,4689035033,254
306,127.8011,34.43185,1111000,3.04,0,4111,168,소리도,----,11F20401,4613034026,261
308,126.07303,34.68703,1110000,8.23,0,4165,165,옥도,----,21F20803,4691037027,251
309,126.6866,37.9464,1111000,25,0.5,4109,109,판문점,----,11B20305,4148038023,113
310,129.26472,37.32471,1111000,14.07,0,4106,105,궁촌,----,11D20603,4223031030,284
311,128.08673,35.78915,1110000,605.47,0,4285,152,가야산,----,11H20503,4889033034,161
312,129.14128,36.39314,1110000,262.19,0,4136,143,주왕산,----,11H10503,4775031034,191
313,128.74127,34.88208,1110000,71,0,4111,159,양지암,----,11H20403,4831010100,153
314,127.74312,35.86621,1111000,1515.31,0,4109,146,덕유봉,----,11F10302,4573032029,278
315,127.51079,35.30673,1110000,1087.86,0,4247,156,성삼재,----,11F20601,4673037026,241
316,126.99743,35.11438,1110000,911.53,0,4156,156,무등산,----,11F20501,2911012000,241
317,127.11418,35.72951,1110000,105.92,0,4146,146,모악산,----,11F10204,4571035025,271
318,128.67045,37.64336,1111000,769.81,0,4109,105,용평,----,11D20201,4276038026,283
319,130.87084,37.53726,1111000,58.05,0,4115,115,천부,----,1.10E+102,4794032024,211
320,128.31375,38.33104,1111000,1263.88,0,4109,105,향로봉,----,11D20100,4282034028,282
321,128.1963,38.1147,1111000,253.72,0,4109,105,원통,----,11D20100,4281032021,281
322,127.68573,38.23158,1111000,437,0,4109,101,상서,----,11D10102,4279033028,293
323,127.52551,38.27268,1111000,276,0,4109,101,마현,----,11D10101,4278032026,293
324,128.07446,36.91019,1110000,155.91,0,4221,131,송계,----,11C10201,4315035028,325
325,128.02526,37.14449,1110000,231.26,0,4221,131,백운,----,11C10201,4315036021,325
326,127.61126,37.54553,1110000,191.01,0,4202,109,용문산,----,11B20503,4183040029,114
327,127.512,36.65026,1110000,127.11,0,4131,131,우암산,----,11C10301,4311112200,321
328,126.406,33.2494,1111000,63.64,0,4109,184,중문,----,11G00400,5013011900,331
329,126.56521,33.44711,1111000,378.48,0,4184,184,산천단,----,11G00200,5011011700,331
330,126.64947,33.50081,1111000,144.41,0,4184,184,대흘,----,11G00200,5011025926,331
349,127.84308,37.59997,1110000,275,0,4111,105,시동,----,11D10302,4272036024,292
350,128.49556,37.99534,1111000,607,10,4111,105,조침령,----,11D20100,4281033025,281
351,126.9789,37.8953,A1100000,135,0,4099,99,남면,----,11B20304,4163032021,141
352,126.9436,37.7156,A1100000,163,0,4099,99,장흥면,----,11B20304,4163034025,141
353,127.0683,37.8414,A1100000,88,0,4099,99,덕정동,----,11B20304,4163011000,141
355,127.0364,37.1136,A1110000,39,49,4119,109,서탄면,----,11B20606,4122032021,141
356,127.0183,37.0481,A1110000,32,42,4119,109,고덕면,----,11B20606,4122033031,141
358,126.9214,36.9672,A1110000,35,45,4119,109,현덕면,----,11B20606,4122037025,141
359,127.1592,37.8542,A1110000,114,124,4098,98,선단동,----,11B20403,4165010400,141
360,127.2283,37.7861,A1110000,119,129,4098,98,내촌면,----,11B20403,4165032024,141
361,127.2447,38.0053,A1110000,85,95,4098,98,영중면,----,11B20403,4165036021,141
364,127.11901,37.38276,A1110000,55.7,0,4119,109,분당구,----,11B20605,4113510200,141
365,126.89514,37.40925,A1110000,30.13,0,4119,109,석수동,----,11B20602,4117110200,141
366,126.9753,37.35506,A1110000,106.25,0,4119,109,오전동 *,----,11B20609,4143010500,141
367,126.78457,37.40617,A1110000,16.86,0,4112,112,신현동,----,11B20202,4139010400,141
368,127.15029,37.59924,A1110000,36.85,0,4119,98,수택동,----,11B20501,4131010500,141
369,126.91692,37.36404,A1110000,124.68,0,4119,109,수리산길,----,11B20610,4141010400,141
370,127.25,37.1789,A1100000,241,0,4119,109,이동묵리,----,11B20612,4146125627,141
371,127.11451,37.2804,A1100000,101.62,0,4119,109,기흥구갈,----,11B20612,4146310200,141
372,127.0267,37.8722,A1100000,108,0,4099,99,은현면,----,11B20304,4163031022,141
373,127.0458,37.7706,A1100000,163,0,4099,99,남방,----,11B20304,4163010300,141
374,126.9706,37.0467,A1110000,50.4,0,4119,109,청북,----,11B20606,4122025928,141
375,126.9875,37.7919,A1100000,150,0,4112,99,백석읍,----,11B20304,4163025022,141
376,126.85889,37.44722,1111000,68,0,4109,109,광명노온,----,11B10103,4121010500,141
377,126.89194000,37.39523000,01111000,28.00,0.00,4109,109,안양만안,----,11B20602,4117110300,141
379,127.5463,35.54046,1111000,292,0,4109,146,번암,----,11F10301,4574032028,278
400,127.08162,37.4982,1110000,12.66,0,4108,109,강남,----,11B10101,1168011400,101
401,127.02601,37.48462,1100000,33.05,0,4108,109,서초,----,11B10101,1165010800,101
402,127.14498,37.55552,1110000,56.21,0,4108,109,강동,----,11B10101,1174010200,101
403,127.0967,37.51151,1100000,58.26,0,4108,109,송파 *,----,11B10101,1171010100,101
404,126.82953,37.5739,1100000,80.4,0,4108,109,강서,----,11B10101,1150010300,101
405,126.8782,37.52961,1100000,11.93,0,4108,109,양천 *,----,11B10101,1147010200,101
406,127.02947,37.66612,1110000,56.65,0,4108,109,도봉,----,11B10101,1132010600,101
407,127.09192,37.62186,1110000,25.3,0,4108,109,노원,----,11B10101,1135010300,101
408,127.06036,37.58463,1110000,53.96,0,4108,109,동대문,----,11B10101,1123010400,101
409,127.08682,37.58551,1110000,39.09,0,4108,109,중랑,----,11B10101,1126010100,101
410,126.91739,37.49331,1111000,44,0,4111,109,기상청,----,11B10101,1159010900,101
411,126.92915,37.55165,1110000,100.67,0,4108,109,마포,----,11B10101,1144012300,101
412,126.94078,37.57047,1111000,103.08,0,4109,109,서대문,----,11B10101,1141011400,101
413,127.08566,37.5338,1110000,28.63,0,4108,109,광진,----,11B10101,1121510500,101
414,126.99944,37.61172,1110000,128.62,0,4108,109,성북,----,11B10101,1129013300,101
415,126.97611,37.52038,1111000,31.73,0,4109,109,용산,----,11B10101,1117012900,101
416,126.9426,37.64648,1100000,57,0,4111,109,은평,----,11B10101,1138011400,101
417,126.90016,37.46551,1111000,45,0,4108,109,금천,----,11B10101,1154510200,101
418,126.93904,37.52489,1110000,10.66,0,4108,109,한강,----,11B10101,1156011000,101
419,126.98736,37.55236,1111000,267.05,0,4108,109,중구,----,11B10101,1114014200,101
421,127.03885,37.54721,1110000,34.73,0,4108,109,성동,----,11B10101,1120011400,101
423,126.827,37.494,1110000,56.08,0,4108,109,구로,----,11B10101,1153010900,101
424,127.02576,37.63972,1110000,57.29,0,4108,109,강북 *,----,11B10101,1130510300,101
425,126.98154,37.46347,1110000,113,0,4111,109,남현,----,11B10101,1162010300,101
426,124.63048,37.96611,1111000,147.29,9.4,4102,102,백령(레),----,11A00101,2872033024,131
427,126.67343,37.64279,1111000,10.54,0,4111,119,김포장기,----,11B20102,4157010400,221
428,127.21284,37.55122,1111000,23.73,0,4109,119,하남덕풍,----,11B20504,4145010800,141
429,126.7636,37.50059,W0000000,15.67,0,4109,119,부천원미,----,11B20204,4119010800,----
430,127.00971,37.27464,A1110000,90.33,0,4119,109,경기,----,11B20601,4111513600,141
431,127.07179,37.74874,A1110000,52.95,0,4098,99,신곡,----,11B20301,4115010400,141
432,126.9204565,37.13107,A1100000,29,0,4119,109,향남,----,11B20604,4159025939,141
433,126.7636,37.50059,A1110000,15.67,0,4112,112,부천,----,11B20204,4119010800,141
434,126.9589167,37.39158333,A1110000,96,0,4119,109,안양,----,11B20602,4117300000,141
435,126.83397,37.33262,A1110000,73,0,4112,112,고잔,----,11B20203,4127310100,141
436,127.18839,37.23444,A1110000,110.83,0,4119,109,처인역삼,----,11B20612,4146110200,141
437,126.86531,37.47867,A1110000,52.69,0,4112,112,광명,----,11B10103,4121010200,141
438,126.93534,37.36148,A1110000,84.71,0,4119,109,군포,----,11B20610,4141010500,141
439,127.0377778,37.20605556,A1110000,66,0,4119,109,진안 *,----,11B20604,4159011600,141
440,127.4423889,37.275,A1110000,168,0,4203,203,설봉,----,11B20701,4150010300,141
441,126.76244,37.60758,A1100000,28,0,4011,112,김포,----,11B20102,4157025322,141
442,127.28568,37.41884,A1111000,37.41,0,4203,203,지월,----,11B20702,4161025329,141
443,127.2901,37.02278,A1110000,66.04,0,4203,109,보개,----,11B20611,4155031029,141
444,127.21367,37.53794,A1110000,27.68,0,4203,203,하남,----,11B20504,4145010600,141
445,126.96884,37.34452,A1110000,80.4,0,4119,109,의왕,----,11B20609,4143010100,141
446,127.06373,37.14031,A1110000,17.48,0,4119,109,남촌,----,11B20603,4137010100,141
447,127.6812778,37.32622222,A1110000,72,0,4203,203,북내,----,11B20703,4167036021,141
448,127.4451667,37.39877778,A1110000,131,0,4203,203,산북,----,11B20703,4167038021,141
449,127.44809,37.51002,A1110000,32,0,4202,203,옥천,----,11B20503,4183034021,141
450,126.83124,37.65823,A1110000,45.34,0,4099,99,주교,----,11B20302,4128110100,141
451,127.20483,37.69851,A1110000,87.99,0,4098,98,오남,----,11B20502,4136026221,141
452,127.22638,37.93408,A1110000,95.19,0,4098,98,신북,----,11B20403,4165034022,141
453,126.8983333,37.44,A1110000,37,0,4112,112,소하,----,11B10103,4121010400,141
454,127.06693,37.97426,A1110000,70.71,0,4098,98,하봉암,----,11B20401,4125011000,141
455,127.50083,37.84598,A1110000,71.8,0,4101,98,경기가평,----,11B20404,4182025021,141
456,127.07564,38.09632,A1110000,73.31,0,4099,98,연천,----,11B20402,4180025021,141
457,127.1941806,37.52202222,A1110000,52,0,4203,203,춘궁 *,Chungung,11B20504,4145011800,141
458,127.30579,37.4747,A1110000,44.59,0,4203,203,퇴촌 *,----,11B20702,4161034026,141
459,127.1967556,37.345475,A1110000,89,0,4203,203,오포,Opo,11B20702,4161025024,141
460,127.4039389,37.36640278,A1110000,182,0,4203,203,실촌 *,Silchon,11B20702,4161025927,141
461,127.35799,37.24896,A1110000,109.89,0,4203,203,마장,----,11B20701,4150034021,141
462,127.48022,37.17172,A1110000,91.21,0,4203,203,모가,----,11B20701,4150036021,141
463,127.5412417,37.3327,A1100000,57,0,4203,203,흥천 *,Heungcheon,11B20703,4167032000,141
464,127.6625722,37.20612778,A1110000,86,0,4203,203,점동,Jeomdeung,11B20703,4167031021,141
465,127.54506,37.20173,A1110000,78.02,0,4203,203,가남,----,11B20703,4167025021,141
466,127.533325,37.39278889,A1110000,60,0,4203,203,금사 *,Geumsa,11B20703,4167033021,141
467,127.1944778,37.05979167,A1110000,55,0,4203,109,양성,Yangseong,11B20611,4155036021,141
468,127.2592222,36.94306944,A1110000,63,0,4203,109,서운,Seoun,11B20611,4155033021,141
