일련번호,도구분,지점코드,지점명,위도,경도,고도,설치주소,관측 시작일
1,강원도,024063D006,철원군 근남면,38.16262,127.32201,278,강원도 철원군 근남면 마현1길 20-41,2017-08-07
2,강원도,026002D003,태백시 매봉산,37.22308,128.96514,1153,강원도 태백시 매봉산길304,2015-12-16
3,강원도,026136A003,정선군 신동읍,37.25987,128.58477,261,강원도 정선군 신동읍 덕천리 산137,2015-10-19
4,강원도,200821A001,춘천시 신북읍,37.934,127.75377,98,강원도 춘천시 신북읍 신북로 102,2010-09-28
5,강원도,209802A001,화천군 화천읍,38.11013,127.69448,139,강원도 화천군 화천읍 상리 531 화천군농업기술센터 실습,2011-02-22
6,강원도,210852A001,강릉시 연곡면,37.85242,128.84401,7,강원도 강릉시 연곡면 동덕리 1465,2011-06-11
8,강원도,215821A001,양양군 손양면,38.0749,128.6336,40,강원도 양양군 손양면 동해대로 2558,2013-11-29
9,강원도,217060A001,속초시 대포동,38.16919,128.5997,68,강원도 속초시 대포동 159-13,2010-09-15
10,강원도,220844A001,원주시 흥업면,37.29576,127.91503,154,강원도 원주시 흥업면 흥대길 7,2010-12-01
11,강원도,225874A001,횡성군 공근면,37.5275,127.96066,146,강원도 횡성군 공근면 학담2리 784-3,2011-05-25
12,강원도,230802A001,영월군 영월읍,37.16763,128.47716,220,강원도 영월군 영월읍 덕포리 95-1,2011-11-09
13,강원도,232803A001,평창군 여만리,37.37786,128.3947,293,강원도 평창군 평창읍 여만길 46,2010-12-17
16,강원도,233852A001,정선군 정선읍,37.42332,128.65395,374,강원도 정선군 북평면 남평1리 1270-6,2012-04-24
17,강원도,233852A002,정선군 임계면,37.50471,128.87632,550,강원도 정선군 임계면 임계리 658-6,2014-10-07
19,강원도,235802A001,태백시 황지동,37.15619,128.97485,733,강원도 태백시 황지동 432,2010-12-04
20,강원도,240813A001,동해시 북평동,37.4852,129.11882,55,강원도 동해시 북평동 274-18,2012-05-10
21,강원도,245825A002,삼척시 미로면,37.41026,129.10624,26,강원도 삼척시 미로면 하거노리 435,2015-01-27
22,강원도,245832A001,삼척시 근덕면,37.38416,129.23112,19,강원도 삼척시 근덕면 맹방해변로 49,2011-01-28
23,강원도,250802A001,홍천군 화동리,37.70566,127.85943,139,강원도 홍천군 북방면 화동리 481,2011-01-28
25,강원도,252805A001,인제군 인제읍,38.05974,128.16701,192,강원도 인제군 인제읍 남북리 2리 7반,2010-10-13
26,강원도,255840A001,양구군 만대리,38.15287,128.08108,501,강원도 양구군 해안면 만대리 2524,2012-06-18
27,강원도,255840A002,양구군 후리,38.17512,128.08334,457,강원도 양구군 해안면 후리 519,2013-05-22
28,강원도,269811A001,철원군 동송읍,38.20324,127.25026,205,강원도 철원군 동송읍 장흥3리,2010-12-16
29,경기도,017414F020,이천시 장호원,37.14918,127.61381,72,경기 이천시 장호원읍 풍계리 458,2017-11-24
30,경기도,017421F029,이천시 진암리,37.12112,127.60956,129.4,경기 이천시 장호원읍 진암리 328-1(서동대로8759번길 97-103),2018-11-14
31,경기도,411801A001,고양시 구산동,37.67453,126.7007,24,경기도 고양시 일산서구 구산동 1942,2010-12-06
32,경기도,412040A002,고양시 덕양구,37.64918,126.87036,39,경기도 고양시 덕양구 고양대로 1695 (원흥동),2013-08-24
33,경기도,413813A001,파주시 아동동,37.76469,126.79618,23,경기도 파주시 아동동 91-6,2010-11-11
34,경기도,415743A001,김포시 월곶면,37.69489,126.55614,43,경기도 김포시 월곶면 오리정로 13,2010-12-14
35,경기도,425320A001,안산시 단원구,37.24892,126.59118,7,경기도 안산시 단원구 대부도동 1253-1,2010-12-08
36,경기도,426170A001,안산시 상록구,37.30035,126.84454,23,경기도 안산시 상록구 항가울로 222 (사동),2012-12-17
37,경기도,429843A001,시흥시 하중동,37.40104,126.8079,12,경기도 시흥시 하중동 224-1,2010-11-05
38,경기도,441707D001,수원시 서둔동,37.2736,126.99299,46,경기도 수원시 권선구 수인로 84 (서둔동),2013-03-21
39,경기도,445891A001,화성시 봉담읍,37.2203,126.95004,42,경기도 화성시 봉담읍 샘마을1길 7,2011-04-16
40,경기도,449872A001,용인시 처인구,37.17386,127.2989,149,경기도 용인시 처인구 원삼면 농촌파크로 80,2010-11-10
41,경기도,451873A001,평택시 오성면,37.01257,126.98065,31, 경기도 평택시 오성면 청오로 33-58,2010-11-15
42,경기도,456871A001,안성시 보개면,37.02392,127.28776,73,경기도 안성시 보개면 보개원삼로 219,2010-12-13
43,경기도,464030A001,광주시 목현동,37.43231,127.23394,91,경기도 광주시 이배재로 209-5,2010-11-01
44,경기도,467800A001,이천시 중리동,37.27261,127.43305,90,경기도 이천시 부악로 38-52 (중리동),2010-11-08
45,경기도,469803A001,여주시 상거동,37.25226,127.63796,87,경기도 여주군 여주읍 상거리 5-6,2010-11-10
46,경기도,472830A001,남양주 진건읍,37.64977,127.19327,88,경기도 남양주시 진건읍 사릉로 234-46,2012-06-05
47,경기도,476801A001,양평군 양평읍,37.50897,127.51295,191,경기도 양평군 양평읍 농업기술센터길 37,2010-09-28
48,경기도,477802A001,가평군 가평읍,37.84621,127.50063,80,경기도 가평군 가평읍 아랫마장길 59,2011-05-22
49,경기도,482841A001,양주시 광적면,37.82046,126.97269,107,경기도 양주군 광적면 광석리 278,2010-12-06
50,경기도,486803A001,연천군 연천읍,38.08436,127.07843,49,경기도 연천군 연천읍 동막리 431-12(연천로 42번길),2010-11-12
52,경기도,487915A001,포천시 신북면,37.92364,127.22573,128,경기도 포천시 신북면 틀못이길 11-88,2010-11-26
53,경상남도,050115F027,거창군 주상면,35.75929,127.94553,320.2,경남 거창군 주상면 남산리 210-1,2018-11-28
54,경상남도,050124D004,거창군 동변리,35.71787,127.89926,288,경상남도 거창군 거창읍 동변리1155-1,2016-06-03
55,경상남도,050415C005,밀양시 산내면,35.3541,128.57174,258,경상남도 밀양시 산내면 삼양리 1931,2017-04-19
56,경상남도,051394A001,창원시 대산면,35.34259,128.70779,5,경남 창원시 의창구 대산면 가술리 31-2,2015-10-28
57,경상남도,052546F018,사천시 송포동,34.9652,128.05101,76,경남 사천시 해안관광로 458-19,2017-11-24
58,경상남도,621100A001,김해시 전하동,35.21431,128.86962,5,경상남도 김해시 전하로198번길 102 (전하동),2010-12-21
59,경상남도,627911A001,밀양시 상남면,35.44535,128.75699,7,경상남도 밀양시 상남면 상남로 1008-19,2010-09-30
60,경상남도,635821A001,창녕군 대지면,35.55139,128.47668,36,경상남도 창녕군 대지면 우포2로 1085,2014-06-10
61,경상남도,638802A001,고성군 고성읍,34.99053,128.3309,20,경상남도 고성군 고성읍 죽계리 435-230,2011-01-19
62,경상남도,650821A001,통영시 광도면,34.90357,128.40463,42,경상남도 통영시 광도면 노산리 251-40(농업개발시설내),2010-09-30
63,경상남도,656933A001,거제시 거제면,34.85653,128.58051,41,경남 거제시 거제면 거제남서로 3577(거제시농업개발원),2010-11-04
64,경상남도,660985B001,진주시 초전동,35.20538,128.11697,23,경남 진주시 초전동 469,2011-09-08
65,경상남도,664951A001,사천시 용현면,35.03698,128.06766,188,경남 사천시 용현면 신복리 500번지,2012-07-12
66,경상남도,667822A002,하동군 화개면,35.16258,127.6493,18,경남 하동군 화개면 섬진강대로 3665(녹차연구소),2014-12-15
67,경상남도,667831A001,하동군 적량면,35.07943,127.76967,35,경남 하동군 적량면 동산리 1830-2,2011-06-15
68,경상남도,668812F002,남해군 이동면,34.81611,127.92559,46,경남 남해군 이동면 남해대로 2421,2014-12-26
69,경상남도,670807A001,거창군 거창읍,35.67318,127.92131,194,경남 거창군 거창읍 거함대로 3372-60,2012-12-10
70,경상남도,678806A001,합천군 용주면,35.55128,128.11239,49,경남 합천군 용주면 고품리 910-292,2012-05-30
71,경상북도,036043F024,영주시 봉현면,36.86547,128.49416,283.4,경북 영주시 봉현면 두산리 534-2,2018-11-20
72,경상북도,036052B006,영주시 용산리,36.80886,128.54039,189,영주시 안정면 용산리 657,2015-10-12
73,경상북도,036229B007,봉화군 외삼리,36.89858,128.80851,300,봉화군 봉성면 외삼리 92-1,2015-10-12
74,경상북도,036531B008,영양군 대천리,36.65442,129.14864,227,영양군 영양읍 대천리 579-3,2015-10-12
75,경상북도,036614B005,안동시 북후면,36.66306,128.701,134,안동시 북후면 도촌리 30-1,2015-10-12
76,경상북도,037136F022,상주시 외서면,36.49427,128.17598,81,경북 상주시 외서면 북상주로 773,2017-11-24
77,경상북도,037268B004,상주시 공성면,36.28226,128.0739,100,상주시 공성면 장동리 69,2015-10-12
78,경상북도,037322D007,의성군 옥산면,36.41577,128.79888,182.7,경북 의성군 옥산면 의성길안로 1445-29,2017-11-09
79,경상북도,037339B009,의성군 의성읍,36.34158,128.7428,142,의성군 의성읍 상리리 133-6,2015-10-12
80,경상북도,037448F025,청송군 부남면,36.3017,129.11851,314.9,경북 청송군 부남면 양숙리 609(부남로 798-99),2018-11-21
81,경상북도,038303A002,청도군 각북면,35.6693,128.59765,126,경북 청도군 각북면 삼평리 438,2016-06-15
82,경상북도,038315B010,청도군 이서면,35.64786,128.6485,93,청도군 이서면 구라리 787,2015-10-12
83,경상북도,038316F030,청도군 구라리,35.64738,128.65092,100.3,경북 청도군 이서면 구라리 553,2018-11-27
84,경상북도,038882F017,영천시 금호읍,35.92065,128.86366,77,경북 영천시 금호읍 가라골1길 77-11,2017-11-24
85,경상북도,039000F026,군위군 소보면,36.27872,128.46624,85,경북 군위군 소보면 위성리 251-4,2018-11-22
86,경상북도,039102B003,구미시 옥성면,36.32622,128.27677,40,구미시 옥성면 옥관리 59-4,2015-10-12
87,경상북도,040054B002,성주군 대천리,35.87969,128.17815,122,성주군 대가면 대천리 635,2015-10-12
88,경상북도,041404B001,대구시 북구,35.95484,128.56192,61,대구시 북구 동호동 189,2015-10-08
89,경상북도,712851A001,경산시 자인면,35.81709,128.81137,62,경상북도 경산시 자인면 계정길 7,2012-05-29
90,경상북도,714902A001,청도군 화양읍,35.64969,128.73431,89,경상북도 청도군 청화3길 10,2013-11-29
91,경상북도,716823A001,군위군 효령면,36.18081,128.59212,115,경상북도 군위군 효령면 호우로 97(성리 111),2013-11-26
92,경상북도,718814A001,칠곡군 약목면,36.03976,128.38128,47,경상북도 칠곡군 약목면 동덕로 146,2011-01-05
93,경상북도,719862A001,성주군 대가면,35.91477,128.25264,60,경상북도 성주군 대가면 참별로 2479,2011-04-21
94,경상북도,730802A001,구미시 선산읍,36.23156,128.28812,32,경북 구미시 선산읍 이문리 862,2010-09-13
96,경상북도,742290A001,상주시 초산동,36.4537,128.16712,66,경상북도 상주시 발산로 71 (초산동),2010-09-13
97,경상북도,745230A001,문경시 흥덕동,36.61436,128.20773,85,경상북도 문경시 중앙로 280 (흥덕동),2011-01-28
98,경상북도,750804A003,영주시 풍기읍,36.8846,128.50629,273,경상북도 영주시 풍기읍 백리길151번길 21,2013-11-26
99,경상북도,750823A005,영주시 부석면,37.00268,128.65301,386,경상북도 영주시 부석면 임곡리 593,2013-11-27
100,경상북도,750852A006,영주시 평은면,36.76442,128.70167,220,경상북도 영주시 평은면 평은리 972-18,2013-11-27
101,경상북도,750873A001,영주시 안정로,36.84649,128.56106,173,경상북도 영주시 안정면 안정로 30,2011-01-10
102,경상북도,750873A002,영주시 안풍리,36.85962,128.55838,206,경상북도 영주시 안정면 안풍로 98,2013-11-26
103,경상북도,755851A001,봉화군 석포면,37.0522,129.00311,586,경상북도 봉화군 석포면 대현리 149-25,2010-10-05
104,경상북도,755851A002,봉화군 봉성면,36.90123,128.77321,266,경북 봉화군 봉성면 금봉리 779,2012-06-27
105,경상북도,757802A001,예천군 예천읍,36.67708,128.46287,101,경상북도 예천군 예천읍 도효자로 87-56,2010-09-10
106,경상북도,760380A001,안동시 송천동,36.53824,128.80505,78,경상북도 안동시 경동로 1484-10 (송천동),2011-01-20
107,경상북도,763803A001,청송군 청송읍,36.3906,129.07849,217,경상북도 청송군 청송읍 주왕산로 177,2010-11-05
108,경상북도,764803A001,영양군 영양읍,36.65608,129.1464,248,경상북도 영양군 영양읍 영양창수로 323,2011-08-10
110,경상북도,767862A001,울진군 매화면,36.91721,129.37943,27,경북 울진군 매화면 매화매실길 76,2012-04-26
111,경상북도,769912A001,의성군 봉양면,36.32229,128.64646,90,경북 의성군 봉양면 경북대로 5225,2014-09-06
112,경상북도,770270A001,영천시 오미동,35.99077,128.9253,110,경상북도 영천시 천문로 622-13 (오미동),2012-12-02
113,경상북도,780950A001,경주시 용강상리,35.86717,129.22527,110,경상북도 경주시 용강상리길 70 (용강동),2013-11-28
114,경상북도,791945A001,포항시 북구,36.11306,129.30634,45,경상북도 포항시 북구 흥해읍 신흥로 572,2010-11-23
115,부산광역시,618803A001,부산시 강서구,35.20937,128.96128,3,경남 부산시 강서구 대저1동 2038,2010-12-20
116,서울특별시,137180A001,서울시 서초구,37.46541,127.08996,58,서울특별시 서초구 헌인릉1길 83-9 (내곡동),2012-05-26
117,세종특별자치시,339814A001,세종시 연서면,36.57488,127.28141,55,세종특별자치시 연서면 월하천로 289,2010-09-13
118,울산광역시,045012F021,울주군 서생면,35.36393,129.30257,65,울산광역시 울주군 서생면 위양리 725-1,2017-11-24
119,울산광역시,689861A001,울산시 청량면,35.52411,129.26704,51,울산광역시 울주군 청량면 청량천변로 211,2013-11-27
120,인천광역시,409871A001,옹진군 영흥면,37.25288,126.46034,11,인천광역시 옹진군 영흥면 영흥남로435번길 29,2012-05-26
121,인천광역시,409911A001,옹진군 백령면,37.95742,124.71063,11,인천광역시 옹진군 백령면 진촌리 2359-4,2014-12-18
122,전라남도,059223A001,강진군 군동면,34.64381,126.79003,8.7,전라남도 강진군 군동면 진흥로 85,2017-03-29
123,전라남도,513842A001,영광군 군서면,35.28227,126.46796,20,전라남도 영광군 군서면 만곡리 184-1,2010-10-06
124,전라남도,515804A001,장성군 장성읍,35.3185,126.79595,61,전라남도 장성군 장성읍 단풍로 220,2010-09-30
125,전라남도,516821A001,곡성군 오곡면,35.27364,127.30344,71,전남 곡성군 오곡면 승법리 180-7,2011-05-16
126,전라남도,519822A001,화순군 한천면,34.9735,127.07065,139,전라남도 화순군 한천면 동가리 29-1,2011-05-18
127,전라남도,520821F001,나주시 금천면,35.02371,126.74747,13,전남 나주시 금천면 벽류길 121 나주배연구소,2014-12-18
128,전라남도,520853A003,나주시 봉황면,34.95821,126.7484,29,나주시 봉황면 욱곡리 654-5,2013-12-25
129,전라남도,520892A001,나주시 공산면,34.94379,126.60644,4.4,전라남도 나주시 공산면 남창리 462-9,2013-12-25
130,전라남도,520943A002,나주시 문평면,35.04004,126.60136,7.5,전라남도 나주시 문평면 산호리 1407-1,2013-12-25
131,전라남도,525811A001,함평군 학교면,35.05217,126.54172,12,전라남도 함평군 학교면 학교화산길 90,2010-09-15
132,전라남도,526821A001,영암군 덕진면,34.82528,126.67311,28,전남 영암군 덕진면 장선리 676-1(금호길 11),2010-09-23
133,전라남도,529805A001,장흥군 장흥읍,34.67061,126.91002,40,전남 장흥군 장흥읍 건산리 236-6,2011-07-27
135,전라남도,534844A001,무안군 현경면,35.02855,126.44567,67,전라남도 무안군 현경면 지망길 74,2013-01-25
136,전라남도,535812A001,신안군 압해읍,34.89947,126.33669,23,전라남도 신안군 압해읍 동서리 520(압해로 1042),2011-09-30
137,전라남도,535873B003,전남농업기술원,35.02493,126.82454,26,전라남도 나주시 신포면 세남로 1508,2013-06-18
138,전라남도,536806A001,해남군 삼산면,34.52835,126.55962,-1,전남 해남군 삼산면 봉학리 99-48 (해남읍 땅끝대로 106),2013-05-23
139,전라남도,536824B002,해남군 옥천면,34.58164,126.65029,28,전라남도 해남군 옥천면 용정리길 20,2013-05-23
141,전라남도,539823A001,진도군 군내면,34.51146,126.29772,41,전라남도 진도군 군내면 송산리 747-1 (가흥로 697),2010-09-30
142,전라남도,540814A001,순천시 주암면,35.05758,127.2825,20,전라남도 순천시 주암면 창촌리 50-1,2014-06-13
143,전라남도,542805A001,구례군 구례읍,35.1973,127.46092,38,전라남도 구례군 구례읍 동산1길 32,2010-12-06
144,전라남도,546804B001,보성군 보성읍,34.78188,127.09562,145,전라남도 보성군 보성읍 송재로 354 (녹차연구소),2011-02-10
145,전라남도,546805A001,보성군 웅치면,34.72791,127.02383,159,전라남도 보성군 웅치면 강산리 1590-10(일림로 1145 ),2010-09-27
146,전라남도,548912A001,고흥군 풍양면,34.56648,127.25811,52,전라남도 고흥군 풍양면 풍남로 143,2011-05-16
147,전라남도,555130A001,여수시 주삼동,34.78753,127.65434,26,전라남도 여수시 주동1길 32 (주삼동),2011-06-23
148,전라북도,055365F016,완주군 반교리,35.83029,127.03227,67,전북 완주군 이서면 반교리 산 126,2017-11-24
149,전라북도,055640F028,장수군 개정리,35.62221,127.51908,535.5,전북 장수군 장수읍 개정리 238-66,2018-11-29
150,전라북도,323891D002,완주군 이서면,35.82881,127.04559,32,전라북도 전주시 완주군 이서면 국립농업과학원,2013-11-21
151,전라북도,565862A001,완주군 고산면,35.98494,127.22152,78,전라북도 완주군 고산면 고산천로 720-45,2011-01-14
152,전라북도,566822A001,임실군 신평면,35.65627,127.26588,225,전북 임실군 신평면 대리 1244-3,2011-06-21
153,전라북도,567801A002,진안군 진안읍,35.7603,127.43745,362,전라북도 진안군 진안읍 진무로 702-30,2012-04-27
154,전라북도,570802A001,익산시 함열읍,36.04125,126.959,16,전북 익산시 익산대로 1366-20,2014-12-16
155,전라북도,576040A001,김제시 부량면,35.74644,126.85146,24,전북 김제시 부량면 신용리 301-2 김제시농업기술센터 예찰포,2010-09-15
157,전라북도,580813A001,정읍시 정우면,35.62084,126.89625,30,전라북도 정읍시 정우면 정우남로 282,2010-09-30
158,전라북도,588802A001,무주군 무주읍,36.00591,127.67787,214,전북 무주군 무주읍 당산리 374-2,2010-10-01
159,전라북도,590823A001,남원시 이백면,35.42608,127.43795,152,전라북도 남원시 이백면 이백로 309,2011-01-06
161,전라북도,595870A001,순창군 구림면,35.43821,127.0412,269,전라북도 순창군 구림면 삭골길 56-1,2010-10-01
162,전라북도,597803A001,장수군 장수읍,35.61981,127.51154,478,전라북도 장수군 장수읍 노하3길 16,2011-01-14
163,제주특별자치도,053359B008,제주시 한동리,33.53483,126.83234,9,제주시 구좌읍 한동리 55-1(한동리_우편번호),2016-01-21
164,제주특별자치도,063048F003,제주시 신엄리,33.45888,126.36908,105,제주특별자치도 제주시 애월읍 신엄리 1818-1(신용로 148),2016-09-30
165,제주특별자치도,063057B009,제주시 애월읍,33.44772,126.4123,199.1,제주시 애월읍 상귀리 940(상귀리_우편번호),2016-01-20
166,제주특별자치도,063190F010,제주시 금악리,33.3625,126.29168,200,제주특별자치도 제주시 한림읍 금악리 2183-3,2016-09-30
167,제주특별자치도,063240F009,제주시 오등동,33.46588,126.53912,208,제주특별자치도 제주시 오등동 125,2016-10-01
168,제주특별자치도,063336B011,제주시 조천읍,33.52831,126.62523,37.6,제주특별자치도 제주시 조천읍 신촌리 715,2016-08-30
169,제주특별자치도,063352B012,제주시 세화리,33.51083,126.84355,36,"제주시 구좌읍 세화리 1703-29, 동부농업기술센터 실증포",2017-06-30
170,제주특별자치도,063356F008,제주시 구좌읍,33.50321,126.7711,126,제주특별자치도 제주시 구좌읍 덕천리 278-6,2016-10-01
171,제주특별자치도,063501F011,서귀포 대정읍,33.27401,126.22765,49,제주특별자치도 서귀포시 대정읍 무릉리 1485,2016-09-29
172,제주특별자치도,063527F012,서귀포 덕수리,33.25468,126.30059,67,제주특별자치도 서귀포시 안덕면 덕수리 2579-1,2016-09-28
173,제주특별자치도,063531B006,제주시 덕천리,33.5029,126.7798,130.2,제주시 구좌읍 덕천리 154(덕천리_우편번호),2016-01-21
174,제주특별자치도,063531B010,서귀포 감산리,33.26108,126.35497,125.4,서귀포시 안덕면 감산리 216(일주서로 1496-12),2016-01-20
175,제주특별자치도,063532F013,서귀포 창천리,33.26528,126.36734,162,제주특별자치도 서귀포시 안덕면 창천리 183,2016-09-27
176,제주특별자치도,063541F014,서귀포 하원동,33.25598,126.45764,112,제주특별자치도 서귀포시 하원동 1315,2016-09-27
177,제주특별자치도,063550B007,서귀포 중문동,33.35363,126.2484,163.8,서귀포시 중문동 912(중문상로192번길 32),2016-01-21
178,제주특별자치도,063605F004,서귀포 신효동,33.26984,126.61333,75,제주특별자치도 서귀포시 신효동 548-11,2016-09-30
179,제주특별자치도,063607F015,서귀포 남원읍,33.30227,126.61213,193,제주특별자치도 서귀포시 남원읍 하례리 1318,2016-09-21
180,제주특별자치도,063616F005,서귀포 신흥리,33.3061,126.74546,45,제주특별자치도 서귀포시 남원읍 신흥리 1437-12,2016-10-02
181,제주특별자치도,063626F006,서귀포 표선면,33.33378,126.77825,102,제주특별자치도 서귀포시 표선면 토산리 723-1,2016-09-21
182,제주특별자치도,063641F007,서귀포 성산읍,33.43472,126.89741,50,제주특별자치도 서귀포시 성산읍 고성리 2559-1,2016-09-21
183,제주특별자치도,695907A001,제주시 월각로,33.37691,126.32979,308,제주특별자치도 제주시 애월읍 월각로 563-20,2013-08-24
184,제주특별자치도,695909B001,제주시 상귀길,33.45941,126.40391,102,제주특별자치도 제주시 애월읍 상귀길 173,2013-11-30
185,제주특별자치도,695923A001,제주시 한림읍,33.35316,126.24862,75,제주특별자치도 제주시 한림읍 월림7길 90,2013-11-29
186,제주특별자치도,695971A001,제주시 김녕리,33.5502,126.75055,36,제주특별자치도 제주시 구좌읍 김녕남6길 8,2013-08-24
187,제주특별자치도,699946A001,서귀포 하례리,33.28899,126.61167,142,제주시 서귀포 남원읍 하례리 15591-14,2013-11-29
188,충청남도,031004A002,천안시 성환읍,36.95993,127.13006,9.9,충남 천안시 서북구 성환읍 안궁리 424,2016-11-28
189,충청남도,031027F019,천안시 입장면,36.92369,127.21226,43,충남 천안시 서북구 입장면 유리 339,2017-11-24
190,충청남도,032528A001,공주시 우성면,36.4934,127.09924,46,충청남도 공주시 우성면 내산목천길 52-15,2015-12-13
191,충청남도,312831A001,금산군 금성면,36.12584,127.49408,168,충남 금산군 금성면 의총길 90,2010-09-08
192,충청남도,320862A001,논산시 광석면,36.22795,127.0856,31,충남 논산시 광석면 이사리 389-1,2012-08-14
193,충청남도,321916A001,계룡시 두마면,36.26169,127.27726,148,충청남도 계룡시 두마면 사계로 177,2011-06-30
194,충청남도,323814A001,부여군 규암면,36.25915,126.84262,24,충청남도 부여군 규암면 흥수로 488,2010-09-06
195,충청남도,330846A001,천안시 목천읍,36.77527,127.20721,112,충청남도 천안시 동남구 목천읍 목천안터1길 15,2013-11-19
196,충청남도,336812A001,아산시 염치읍,36.82573,126.96796,10,충남 아산시 염치읍 염치1길 40,2012-08-16
197,충청남도,340861A001,예산군 신암면,36.74209,126.81445,29,충남 예산군 신암면 종경리 281-22,2010-09-02
198,충청남도,343808A001,당진시 당진읍,36.91377,126.64968,11,충남 당진군 당진읍 구봉로 46,2010-11-10
199,충청남도,345802A001,청양군 청양읍,36.42545,126.7957,192,충청남도 청양군 청양읍 적누리 264번지,2011-01-19
200,충청남도,350808A001,홍성군 홍성읍,36.60263,126.57921,78,충청남도 홍성군 홍성읍 갈산면 동산리 843,2011-01-11
201,충청남도,355831A001,보령시 주교면,36.39115,126.56601,49,충남 보령시 주포면 주교리 422-5,2011-04-27
202,충청남도,357903A001,태안군 태안읍,36.73285,126.30477,31,충청남도 태안군 태안읍 송암로 523,2010-11-18
203,충청북도,027317F023,충주시 산척면,37.07289,128.00722,240.2,충북 충주시 산척면 명서리 831-5,2018-12-04
204,충청북도,269804A001,음성군 소이면,36.91366,127.76175,100,충북 음성군 소이면 봉전리 777,2011-04-15
205,충청북도,363844A001,청주시 남일면,36.58794,127.50645,58, 충청북도 청원군 남일면 단재로 480,2011-01-07
206,충청북도,363883B001,청원군 오창읍,36.72304,127.46507,40,충청북도 청원군 오창읍 가곡길 46,2011-01-26
207,충청북도,365803A001,진천군 진천읍,36.85385,127.42977,101,충북 진천군 진천읍 문진로 1433-6(교성리 313-3),2010-11-18
208,충청북도,370853A001,영동군 심천면,36.20687,127.71638,100,충북 영동군 심천면 약목리 282번지 실증시험포,2010-09-28
209,충청북도,373805A001,옥천군 옥천읍,36.29997,127.59653,117,충청북도 옥천군 옥천읍 옥천동이로 234,2010-12-17
210,충청북도,380959A001,충주시 달천동,36.95015,127.89728,76,충북 충주시 달천동 672-2,2010-08-19
211,충청북도,390874A001,제천시 봉양읍,37.16156,128.17668,320,충청북도 제천시 봉양읍 제천북로3길 20,2010-12-01
